"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 15 09:10:31 GMT 2023","Wed Feb 15 09:10:36 GMT 2023","4648","","Check links on the ""Network"" page.","","Check links on the ""Network"" page.","ID_0015 Check switching banners of communication maps on the ""Network"" page.","ID_0015 Check switching banners of communication maps on the ""Network"" page.",""
"passed","Wed Feb 15 09:10:36 GMT 2023","Wed Feb 15 09:10:40 GMT 2023","4307","","Check links on the ""Network"" page.","","Check links on the ""Network"" page.","ID_0016 Check switching to the pricing on the ""Network"" page.","ID_0016 Check switching to the pricing on the ""Network"" page.",""
"passed","Wed Feb 15 09:09:46 GMT 2023","Wed Feb 15 09:09:50 GMT 2023","4331","","Check links on the ""About Us"" page.","","Check links on the ""About Us"" page.","ID_0004 Check switching from ""About Us"" page to the ""Careers"" page.","ID_0004 Check switching from ""About Us"" page to the ""Careers"" page.",""
"broken","Wed Feb 15 09:11:54 GMT 2023","Wed Feb 15 09:11:57 GMT 2023","3676","","Check links on the Careers page.","","Check links on the Careers page.","ID_0007 Check positions links with reviews on the ""Careers"" page.","ID_0007 Check positions links with reviews on the ""Careers"" page.",""
"passed","Wed Feb 15 09:10:40 GMT 2023","Wed Feb 15 09:10:44 GMT 2023","3946","","Check links on the ""Network"" page.","","Check links on the ""Network"" page.","ID_0017 Check switching slides with reviews on the ""Network"" page.","ID_0017 Check switching slides with reviews on the ""Network"" page.",""
"passed","Wed Feb 15 09:09:50 GMT 2023","Wed Feb 15 09:09:54 GMT 2023","4089","","Check links on the ""About Us"" page.","","Check links on the ""About Us"" page.","ID_0005 Check brands link on the ""About Us"" page.","ID_0005 Check brands link on the ""About Us"" page.",""
"broken","Wed Feb 15 09:11:49 GMT 2023","Wed Feb 15 09:11:54 GMT 2023","4636","","Check links on the Careers page.","","Check links on the Careers page.","ID_0006 Check switching slides with reviews on the ""Careers"" page.","ID_0006 Check switching slides with reviews on the ""Careers"" page.",""
"passed","Wed Feb 15 09:11:15 GMT 2023","Wed Feb 15 09:11:21 GMT 2023","6917","","Check links on the ""BYOC"" page.","","Check links on the ""BYOC"" page.","ID_0020 Check available resources banners on the ""BYOC"" page.","ID_0020 Check available resources banners on the ""BYOC"" page.",""
"broken","Wed Feb 15 09:13:20 GMT 2023","Wed Feb 15 09:13:25 GMT 2023","5060","","Check links on the ""BYOC"" page.","","Check links on the ""BYOC"" page.","ID_0020 Check available resources banners on the ""BYOC"" page.","ID_0020 Check available resources banners on the ""BYOC"" page.",""
"passed","Wed Feb 15 09:10:13 GMT 2023","Wed Feb 15 09:10:18 GMT 2023","5800","","Check links on the ""Integrations"" page.","","Check links on the ""Integrations"" page.","ID_00012 Check  button, which follow to the Integration Marketplace page on the ""Integrations"" page.","ID_00012 Check  button, which follow to the Integration Marketplace page on the ""Integrations"" page.",""
