"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 15 09:10:27 GMT 2023","Wed Feb 15 09:10:31 GMT 2023","3878","","Check links on the ""Network"" page.","","Check links on the ""Network"" page.","ID_0014 Check sign up on the ""Network"" page.","ID_0014 Check sign up on the ""Network"" page.",""
"passed","Wed Feb 15 09:09:56 GMT 2023","Wed Feb 15 09:10:03 GMT 2023","7245","","Check links on the Careers page.","","Check links on the Careers page.","ID_0006 Check switching slides with reviews on the ""Careers"" page.","ID_0006 Check switching slides with reviews on the ""Careers"" page.",""
"passed","Wed Feb 15 09:09:15 GMT 2023","Wed Feb 15 09:09:21 GMT 2023","5389","","Check links on the ""Partners"" page.","","Check links on the ""Partners"" page.","ID_0011 Check partner form on the ""Partners"" page with empty fields.","ID_0011 Check partner form on the ""Partners"" page with empty fields.",""
"passed","Wed Feb 15 09:11:25 GMT 2023","Wed Feb 15 09:11:30 GMT 2023","5501","","Check links on the ""About Us"" page.","","Check links on the ""About Us"" page.","ID_0001 Check links to Google Maps on the ""About Us"" page.","ID_0001 Check links to Google Maps on the ""About Us"" page.",""
"passed","Wed Feb 15 09:09:01 GMT 2023","Wed Feb 15 09:09:10 GMT 2023","8693","","Check links on the ""Partners"" page.","","Check links on the ""Partners"" page.","ID_0009 Check partner form on the ""Partners"" page with valid data.","ID_0009 Check partner form on the ""Partners"" page with valid data.",""
"passed","Wed Feb 15 09:11:33 GMT 2023","Wed Feb 15 09:11:37 GMT 2023","3775","","Check links on the ""About Us"" page.","","Check links on the ""About Us"" page.","ID_0003 Check the support link on the ""About Us"" page.","ID_0003 Check the support link on the ""About Us"" page.",""
"passed","Wed Feb 15 09:11:37 GMT 2023","Wed Feb 15 09:11:41 GMT 2023","3917","","Check links on the ""About Us"" page.","","Check links on the ""About Us"" page.","ID_0004 Check switching from ""About Us"" page to the ""Careers"" page.","ID_0004 Check switching from ""About Us"" page to the ""Careers"" page.",""
"passed","Wed Feb 15 09:12:52 GMT 2023","Wed Feb 15 09:12:57 GMT 2023","4541","","Check links on the ""Partners"" page.","","Check links on the ""Partners"" page.","ID_0008 Check network link on the ""Partners"" page.","ID_0008 Check network link on the ""Partners"" page.",""
"passed","Wed Feb 15 09:11:30 GMT 2023","Wed Feb 15 09:11:33 GMT 2023","3145","","Check links on the ""About Us"" page.","","Check links on the ""About Us"" page.","ID_0002 Check the registration through the ""Try for free"" button on the ""About Us"" page.","ID_0002 Check the registration through the ""Try for free"" button on the ""About Us"" page.",""
"passed","Wed Feb 15 09:12:18 GMT 2023","Wed Feb 15 09:12:22 GMT 2023","4360","","Check links on the ""Network"" page.","","Check links on the ""Network"" page.","ID_0014 Check sign up on the ""Network"" page.","ID_0014 Check sign up on the ""Network"" page.",""
"passed","Wed Feb 15 09:08:55 GMT 2023","Wed Feb 15 09:09:01 GMT 2023","6164","","Check links on the ""Partners"" page.","","Check links on the ""Partners"" page.","ID_0008 Check network link on the ""Partners"" page.","ID_0008 Check network link on the ""Partners"" page.",""
"passed","Wed Feb 15 09:10:44 GMT 2023","Wed Feb 15 09:10:49 GMT 2023","5052","","Check links on the ""Network"" page.","","Check links on the ""Network"" page.","ID_0018 Check FAQ block on the ""Network"" page.","ID_0018 Check FAQ block on the ""Network"" page.",""
"passed","Wed Feb 15 09:10:51 GMT 2023","Wed Feb 15 09:10:55 GMT 2023","4479","","Check links on the ""Partners"" page.","","Check links on the ""Partners"" page.","ID_0008 Check network link on the ""Partners"" page.","ID_0008 Check network link on the ""Partners"" page.",""
"passed","Wed Feb 15 09:12:57 GMT 2023","Wed Feb 15 09:13:03 GMT 2023","6516","","Check links on the ""Partners"" page.","","Check links on the ""Partners"" page.","ID_0009 Check partner form on the ""Partners"" page with valid data.","ID_0009 Check partner form on the ""Partners"" page with valid data.",""
"passed","Wed Feb 15 09:12:44 GMT 2023","Wed Feb 15 09:12:49 GMT 2023","4679","","Check links on the ""Network"" page.","","Check links on the ""Network"" page.","ID_0018 Check FAQ block on the ""Network"" page.","ID_0018 Check FAQ block on the ""Network"" page.",""
"passed","Wed Feb 15 09:13:10 GMT 2023","Wed Feb 15 09:13:16 GMT 2023","6166","","Check links on the ""Partners"" page.","","Check links on the ""Partners"" page.","ID_0011 Check partner form on the ""Partners"" page with empty fields.","ID_0011 Check partner form on the ""Partners"" page with empty fields.",""
"passed","Wed Feb 15 09:13:03 GMT 2023","Wed Feb 15 09:13:10 GMT 2023","6844","","Check links on the ""Partners"" page.","","Check links on the ""Partners"" page.","ID_0010 Check partner form on the ""Partners"" page with invalid email.","ID_0010 Check partner form on the ""Partners"" page with invalid email.",""
"passed","Wed Feb 15 09:10:55 GMT 2023","Wed Feb 15 09:11:02 GMT 2023","7269","","Check links on the ""Partners"" page.","","Check links on the ""Partners"" page.","ID_0009 Check partner form on the ""Partners"" page with valid data.","ID_0009 Check partner form on the ""Partners"" page with valid data.",""
"passed","Wed Feb 15 09:10:18 GMT 2023","Wed Feb 15 09:10:26 GMT 2023","7352","","Check links on the ""Integrations"" page.","","Check links on the ""Integrations"" page.","ID_00013 Check ""Become a Beta Tester"" form on the ""Integrations"" page with valid email.","ID_00013 Check ""Become a Beta Tester"" form on the ""Integrations"" page with valid email.",""
"passed","Wed Feb 15 09:09:22 GMT 2023","Wed Feb 15 09:09:30 GMT 2023","7255","","Check links on the ""BYOC"" page.","","Check links on the ""BYOC"" page.","ID_0020 Check available resources banners on the ""BYOC"" page.","ID_0020 Check available resources banners on the ""BYOC"" page.",""
"failed","Wed Feb 15 09:12:31 GMT 2023","Wed Feb 15 09:12:44 GMT 2023","13404","","Check links on the ""Network"" page.","","Check links on the ""Network"" page.","ID_0017 Check switching slides with reviews on the ""Network"" page.","ID_0017 Check switching slides with reviews on the ""Network"" page.",""
"passed","Wed Feb 15 09:11:02 GMT 2023","Wed Feb 15 09:11:08 GMT 2023","5263","","Check links on the ""Partners"" page.","","Check links on the ""Partners"" page.","ID_0010 Check partner form on the ""Partners"" page with invalid email.","ID_0010 Check partner form on the ""Partners"" page with invalid email.",""
"passed","Wed Feb 15 09:09:31 GMT 2023","Wed Feb 15 09:09:36 GMT 2023","4790","","Check links on the ""About Us"" page.","","Check links on the ""About Us"" page.","ID_0001 Check links to Google Maps on the ""About Us"" page.","ID_0001 Check links to Google Maps on the ""About Us"" page.",""
"passed","Wed Feb 15 09:11:41 GMT 2023","Wed Feb 15 09:11:45 GMT 2023","3989","","Check links on the ""About Us"" page.","","Check links on the ""About Us"" page.","ID_0005 Check brands link on the ""About Us"" page.","ID_0005 Check brands link on the ""About Us"" page.",""
"passed","Wed Feb 15 09:09:10 GMT 2023","Wed Feb 15 09:09:15 GMT 2023","5243","","Check links on the ""Partners"" page.","","Check links on the ""Partners"" page.","ID_0010 Check partner form on the ""Partners"" page with invalid email.","ID_0010 Check partner form on the ""Partners"" page with invalid email.",""
"passed","Wed Feb 15 09:11:08 GMT 2023","Wed Feb 15 09:11:13 GMT 2023","5509","","Check links on the ""Partners"" page.","","Check links on the ""Partners"" page.","ID_0011 Check partner form on the ""Partners"" page with empty fields.","ID_0011 Check partner form on the ""Partners"" page with empty fields.",""
"passed","Wed Feb 15 09:12:22 GMT 2023","Wed Feb 15 09:12:26 GMT 2023","4052","","Check links on the ""Network"" page.","","Check links on the ""Network"" page.","ID_0015 Check switching banners of communication maps on the ""Network"" page.","ID_0015 Check switching banners of communication maps on the ""Network"" page.",""
"passed","Wed Feb 15 09:12:26 GMT 2023","Wed Feb 15 09:12:31 GMT 2023","4427","","Check links on the ""Network"" page.","","Check links on the ""Network"" page.","ID_0016 Check switching to the pricing on the ""Network"" page.","ID_0016 Check switching to the pricing on the ""Network"" page.",""
"passed","Wed Feb 15 09:10:03 GMT 2023","Wed Feb 15 09:10:11 GMT 2023","7966","","Check links on the Careers page.","","Check links on the Careers page.","ID_0007 Check positions links with reviews on the ""Careers"" page.","ID_0007 Check positions links with reviews on the ""Careers"" page.",""
"passed","Wed Feb 15 09:09:36 GMT 2023","Wed Feb 15 09:09:40 GMT 2023","4001","","Check links on the ""About Us"" page.","","Check links on the ""About Us"" page.","ID_0002 Check the registration through the ""Try for free"" button on the ""About Us"" page.","ID_0002 Check the registration through the ""Try for free"" button on the ""About Us"" page.",""
"passed","Wed Feb 15 09:09:40 GMT 2023","Wed Feb 15 09:09:46 GMT 2023","5523","","Check links on the ""About Us"" page.","","Check links on the ""About Us"" page.","ID_0003 Check the support link on the ""About Us"" page.","ID_0003 Check the support link on the ""About Us"" page.",""
"unknown","Wed Feb 15 09:12:01 GMT 2023","Thu Jan 01 00:00:00 GMT 1970","-1676452321515","","Check links on the ""Integrations"" page.","","Check links on the ""Integrations"" page.","ID_00012 Check  button, which follow to the Integration Marketplace page on the ""Integrations"" page.","ID_00012 Check  button, which follow to the Integration Marketplace page on the ""Integrations"" page.",""
